from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
<<<<<<< HEAD
20,20,,,246072524607282+1120182+1,246072524607272+1120189+1,1,
20,20,,,246073124608121+1120182+1,246073124608111+1120189+1,1,
20,20,,,246066824606724+1120180+1,246066824606714+1120184+1,1,
20,20,,,246068224606935+1120182+1,246067924608125+1120183+1,1,
20,20,,,246070324607215+1120182+1,246067924608125+1120183+1,1,
20,20,,,246073124608124+1120182+1,246073124608114+1120189+1,1,
20,20,,,246073124608125+1120182+1,246067924608125+1120183+1,1,
20,20,,,246066824606722+1120180+1,246066924606692+1120185+1,1,
20,20,,,246067524606762+1120181+1,246067624606762+1120188+1,1,
20,20,,,246067824606794+1120182+1,246067824606784+1120189+1,1,
20,20,,,246069724607004+1120182+1,246069724606994+1120189+1,1,
20,20,,,246072524607285+1120182+1,246067924608125+1120183+1,1,
20,20,,,246066824606721+1120180+1,246066824606711+1120184+1,1,
20,20,,,246068224606932+1120182+1,246068224606922+1120189+1,1,
20,20,,,246073124608122+1120182+1,246073124608112+1120189+1,1,
20,20,,,246067524606761+1120181+1,246067524606751+1120187+1,1,
20,20,,,246067824606795+1120182+1,246067924608125+1120183+1,1,
20,20,,,246069724607005+1120182+1,246067924608125+1120183+1,1,
20,20,,,246073124608123+1120182+1,246073124608113+1120189+1,1,
20,20,,,246066824606725+1120180+1,246067224606725+1120186+1,1,
20,20,,,246068224606934+1120182+1,246068224606924+1120189+1,1,
20,20,,,246066524606655+1120179+1,246066524606655+1120183+1,1,
20,20,,,246068224606931+1120182+1,246068224606921+1120189+1,1,
20,20,,,246069724607002+1120182+1,246069724606992+1120189+1,1,
20,20,,,246070324607212+1120182+1,246070324607202+1120189+1,1,
20,20,,,246068224606933+1120182+1,246068224606923+1120189+1,1,
20,20,,,246069724607003+1120182+1,246069724606993+1120189+1,1,
20,20,,,246070324607211+1120182+1,246070324607201+1120189+1,1,
20,20,,,246070324607213+1120182+1,246070324607203+1120189+1,1,
20,20,,,246070324607214+1120182+1,246070324607204+1120189+1,1,
20,20,,,246072524607283+1120182+1,246072524607273+1120189+1,1,
20,20,,,246072524607284+1120182+1,246072524607274+1120189+1,1,
20,20,,,246066524606655+1120238+1,246066524606655+1120315+1,1,
20,20,,,246069724606993+1120243+1,246069724606993+1123243+1,1,
20,20,,,246066824606712+1120239+1,246066924606692+1120317+1,1,
20,20,,,246068224606921+1120243+1,246068224606921+1123243+1,1,
20,20,,,246073124608111+1120243+1,246073124608111+1123243+1,1,
20,20,,,246073124608113+1120243+1,246073124608113+1123243+1,1,
20,20,,,246070324607204+1120243+1,246070324607204+1123243+1,1,
20,20,,,246073124608112+1120243+1,246073124608112+1123243+1,1,
20,20,,,246067924608125+1120244+1,246067924608125+1120320+1,1,
20,20,,,246066824606711+1120239+1,246066824606711+1120316+1,1,
20,20,,,246067824606784+1120243+1,246067824606784+1123243+1,1,
20,20,,,246070324607202+1120243+1,246070324607202+1123243+1,1,
20,20,,,246072524607274+1120243+1,246072524607274+1123243+1,1,
20,20,,,246068224606922+1120243+1,246068224606922+1123243+1,1,
20,20,,,246070324607203+1120243+1,246070324607203+1123243+1,1,
20,20,,,246068224606924+1120243+1,246068224606924+1123243+1,1,
20,20,,,246069724606994+1120243+1,246069724606994+1123243+1,1,
20,20,,,246067624606762+1120242+1,246067624606762+1123242+1,1,
20,20,,,246068224606923+1120243+1,246068224606923+1123243+1,1,
20,20,,,246069724606992+1120243+1,246069724606992+1123243+1,1,
20,20,,,246070324607201+1120243+1,246070324607201+1123243+1,1,
20,20,,,246066824606714+1120239+1,246066824606714+1120316+1,1,
20,20,,,246067224606725+1120240+1,246067224606725+1120318+1,1,
20,20,,,246072524607272+1120243+1,246072524607272+1123243+1,1,
20,20,,,246072524607273+1120243+1,246072524607273+1123243+1,1,
20,20,,,246073124608114+1120243+1,246073124608114+1123243+1,1,
33,33,,,246069724607003+1123457+0,246069724606993+1122992+1,1,
33,33,,,246070324607212+1123457+0,246070324607202+1122992+1,1,
33,33,,,246072524607282+1123457+0,246072524607272+1122992+1,1,
33,33,,,246066824606722+1123464+1,246066824606722+1123010+1,1,
33,33,,,246067524606791+1123465+1,246067524606791+1123009+1,1,
33,33,,,246073124608113+1123466+1,246073124608123+1123009+1,1,
